date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:57:18	16276/16276	---M--	200	added ('OK')	text/html	etag:%223f94-52bbb4a00d300%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans-Bold.woff2	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/OpenSans-Bold.html	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/style.css)
22:57:19	67469/67469	---M--	200	added ('OK')	image/jpeg	etag:%221078d-545aec8bcdd80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_2.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_2.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/vacation.php)
22:57:20	63110/63110	---M--	200	added ('OK')	image/jpeg	etag:%22f686-545aec8bcdd80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_3.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_3.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/flight.php)
22:57:20	234269/234269	---M--	200	added ('OK')	image/svg+xml	etag:%223931d-4fa171e09e780%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify.svg?-fvbane	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/fonts/themify9f24.svg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/css/plugins.css)
22:57:21	73010/73010	---M--	200	added ('OK')	image/jpeg	etag:%2211d32-545aec8db6200%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_5.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_5.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/hotel.php)
22:57:21	73968/73968	---M--	200	added ('OK')	image/jpeg	etag:%22120f0-545aec8db6200%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_4.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/cover_bg_4.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:22	57847/57847	---M--	200	added ('OK')	image/jpeg	etag:%22e1f7-545aec61d7a80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-1.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-1.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:22	43215/43215	---M--	200	added ('OK')	image/jpeg	etag:%22a8cf-545aec5fef600%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-2.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-2.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:23	60985/60985	---M--	200	added ('OK')	image/jpeg	etag:%22ee39-545aec5e07180%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-3.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-3.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:23	41427/41427	---M--	200	added ('OK')	image/jpeg	etag:%22a1d3-545aec5c1ed00%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-4.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-4.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:24	44458/44458	---M--	200	added ('OK')	image/jpeg	etag:%22adaa-545aec5a36880%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-5.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-5.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
22:57:24	1536/1536	---M--	200	added ('OK')	application/javascript	etag:%22600-56de1b0a18d80%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/js/google_map.js	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/js/google_map.js	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/contact.php)
22:57:25	54066/54066	---M--	200	added ('OK')	image/jpeg	etag:%22d332-545aec584e400%22	https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-6.jpg	C:/Users/WIN%2010/Desktop/Template/aaaa/www.free-css.com/assets/files/free-css-templates/preview/page231/travel/assets/images/car-6.jpg	(from https://www.free-css.com/assets/files/free-css-templates/preview/page231/travel/pages/car.php)
